iter	RMSE
0	0.9939706208
1	0.9875619125
2	0.9811846704
3	0.9740234569
4	0.9673371597
5	0.9614290513
6	0.9549590738
7	0.9481767297
8	0.941122468
9	0.9339278238
10	0.9285540044
11	0.9225816203
12	0.9169306728
13	0.9111233356
14	0.9048220719
15	0.8987205049
16	0.8929174467
17	0.8869868758
18	0.8801755422
19	0.874307338
20	0.8681898989
21	0.8621364926
22	0.8558673561
23	0.8500335739
24	0.8450647358
25	0.8396717519
26	0.8336731332
27	0.8283612149
28	0.8231202723
29	0.8176961974
30	0.8131576996
31	0.8072250802
32	0.8021090055
33	0.7971050975
34	0.7920082917
35	0.7870598756
36	0.7817871176
37	0.7762347674
38	0.7707411253
39	0.7656544151
40	0.7604806494
41	0.7555124946
42	0.7505453533
43	0.7454004683
44	0.7407250847
45	0.7363012042
46	0.7315612982
47	0.726959951
48	0.7215736782
49	0.7173889393
50	0.7129912724
51	0.7079535783
52	0.7030508906
53	0.6985249481
54	0.6936706812
55	0.6899648103
56	0.6855309634
57	0.6813623978
58	0.6770986466
59	0.6724736844
60	0.6687112766
61	0.6644133135
62	0.6598096337
63	0.6553189986
64	0.6510666724
65	0.6467791015
66	0.6427978939
67	0.638762608
68	0.6350677059
69	0.6306401406
70	0.6267960346
71	0.6233132557
72	0.6194317448
73	0.6160467503
74	0.6121712009
75	0.608117143
76	0.6044862594
77	0.600748062
78	0.5971818962
79	0.5932481991
80	0.5893054086
81	0.5858607101
82	0.5821637335
83	0.5788592259
84	0.5754388725
85	0.571855962
86	0.5681586359
87	0.5644436551
88	0.5609942386
89	0.5573261492
90	0.5546786736
91	0.5514790357
92	0.5485579927
93	0.5452644802
94	0.5423912493
95	0.539003496
96	0.5358529682
97	0.5329618422
98	0.5296699165
99	0.5269350842
100	0.5237229688
101	0.5209803002
102	0.5181841369
103	0.5150588368
104	0.5117139374
105	0.5087685416
106	0.5057670148
107	0.5028960025
108	0.5002342023
109	0.4973257767
110	0.4946165753
111	0.4918603371
112	0.4889738639
113	0.486495527
114	0.483443212
115	0.480724571
116	0.477974022
117	0.4755134364
118	0.472716923
119	0.4701536208
120	0.4675182421
121	0.4651873973
122	0.4625501381
123	0.460037962
124	0.4573587311
125	0.4548930458
126	0.4523545312
127	0.4497320127
128	0.4473564049
129	0.4450430946
130	0.4427304247
131	0.4404593149
132	0.4379345864
133	0.4357517192
134	0.4336106687
135	0.4313454922
136	0.4288299485
137	0.4266759369
138	0.4244831227
139	0.4221930063
140	0.4199131621
141	0.4178662896
142	0.4158017512
143	0.4136718227
144	0.41169776
145	0.4097302747
146	0.4075330356
147	0.405816288
148	0.4037513813
149	0.4018998724
150	0.3998162292
151	0.3978209284
152	0.3959021598
153	0.3939717547
154	0.3919089942
155	0.3898712867
156	0.3879582532
157	0.3860947739
158	0.3841648629
159	0.3819431189
160	0.3801950168
161	0.3780789448
162	0.376092556
163	0.3742731177
164	0.372412883
165	0.3706447361
166	0.3690387637
167	0.3671962775
168	0.3656101194
169	0.3639582602
170	0.3622328074
171	0.3605890316
172	0.3590333219
173	0.3572554674
174	0.3555437954
175	0.3539279587
176	0.3525873628
177	0.3509227378
178	0.3491735411
179	0.3478750127
180	0.3461423213
181	0.3445019451
182	0.3427637924
183	0.3412731188
184	0.3397110433
185	0.3380581567
186	0.336430294
187	0.3350605781
188	0.3336605086
189	0.332341238
190	0.3308998788
191	0.3295085168
192	0.3278571283
193	0.3263862965
194	0.324996922
195	0.3236442158
196	0.3222494789
197	0.3207876392
198	0.3194129534
199	0.3180185079
200	0.3165639675
201	0.3152849716
202	0.3140065224
203	0.3127010151
204	0.3114587287
205	0.3100314811
206	0.3086496711
207	0.3072514777
208	0.3060419957
209	0.3047458035
210	0.303562772
211	0.3024410279
212	0.3012712345
213	0.3000355046
214	0.2989439008
215	0.2977549566
216	0.2964888501
217	0.2953127829
218	0.294218576
219	0.2931143903
220	0.2918763871
221	0.2907824936
222	0.2896167268
223	0.2884796162
224	0.2873489145
225	0.2863571794
226	0.2853026773
227	0.2841974111
228	0.2830156149
229	0.2819866296
230	0.2810666036
231	0.2799252698
232	0.2790689119
233	0.2781350649
234	0.2771385774
235	0.2762038393
236	0.2751928141
237	0.2742579767
238	0.2732981464
239	0.2722661203
240	0.2713253765
241	0.2703313319
242	0.2693619412
243	0.2685517832
244	0.267571879
245	0.2665766041
246	0.2654802474
247	0.2646129677
248	0.2637522758
249	0.2627855169
250	0.2617730823
251	0.2609355758
252	0.2600910374
253	0.2592869294
254	0.2584180957
255	0.257558347
256	0.2566836874
257	0.2558154867
258	0.2549088736
259	0.2541516757
260	0.2534006813
261	0.2525792538
262	0.2518353707
263	0.2509111595
264	0.2500710541
265	0.249208593
266	0.2483523236
267	0.2475430702
268	0.2467954442
269	0.2460238986
270	0.2452928144
271	0.2445345207
272	0.2436370848
273	0.2428118094
274	0.2420273075
275	0.2413130589
276	0.2405432433
277	0.2397422417
278	0.2390607276
279	0.2382607171
280	0.2375289943
281	0.2368084147
282	0.2360144864
283	0.2353087187
284	0.2346521283
285	0.2340513675
286	0.2334047643
287	0.2327425921
288	0.2320593665
289	0.2313442225
290	0.2306816189
291	0.2301176694
292	0.2295066798
293	0.2287883284
294	0.2281746636
295	0.2274882629
296	0.2268345012
297	0.2261565273
298	0.2255769186
299	0.2250058641
300	0.2244022353
301	0.2237766866
302	0.2231528521
303	0.2224501137
304	0.2217896194
305	0.2210918693
306	0.2204927457
307	0.2198464649
308	0.219183483
309	0.2186037916
310	0.2179475818
311	0.217347918
312	0.2167773139
313	0.216120998
314	0.2156010314
315	0.2149863475
316	0.2144157464
317	0.2138581434
318	0.2133204308
319	0.2127925337
320	0.2122197397
321	0.2116825722
322	0.2111562216
323	0.2106398555
324	0.2101039802
325	0.209591025
326	0.2090782649
327	0.2084944813
328	0.2079006
329	0.2073644412
330	0.2068378326
331	0.206306708
332	0.2058381563
333	0.2053661523
334	0.2048819705
335	0.2043032854
336	0.2037992055
337	0.2032837576
338	0.2027842921
339	0.2023026309
340	0.2018183561
341	0.2013981447
342	0.200905147
343	0.2004078775
344	0.1999224956
345	0.199387761
346	0.1988916124
347	0.1983843206
348	0.1979381518
349	0.1975057226
350	0.1970528166
351	0.1966736566
352	0.1961307605
353	0.1957191408
354	0.195253198
355	0.1947485466
356	0.1943765641
357	0.1939667245
358	0.1935749524
359	0.1931629807
360	0.1927639715
361	0.1922677514
362	0.1917961882
363	0.1913622535
364	0.1909568215
365	0.1904944099
366	0.1900016643
367	0.1895838041
368	0.1891956621
369	0.1886861141
370	0.1883450966
371	0.1879678548
372	0.1875708839
373	0.187151821
374	0.1867495618
375	0.1863915147
376	0.186023374
377	0.1856340948
378	0.1852662259
379	0.1848494333
380	0.1845238712
381	0.1840961962
382	0.1836633729
383	0.1833720091
384	0.1830270435
385	0.1826776009
386	0.182289531
387	0.1819060313
388	0.1814369362
389	0.1810818625
390	0.1807017049
391	0.1803703339
392	0.1800455101
393	0.1796419878
394	0.1792469286
395	0.1788334656
396	0.1784669237
397	0.1781138983
398	0.1777410686
399	0.1773475913
400	0.1770106047
401	0.1766128517
402	0.1762381636
403	0.1759137287
404	0.1755859896
405	0.1752353479
406	0.1749746856
407	0.1746519969
408	0.1742963872
409	0.1739207245
410	0.1736022415
411	0.1732381151
412	0.1728635627
413	0.1725482603
414	0.1721644631
415	0.1718851103
416	0.1716036087
417	0.1712713811
418	0.1710131771
419	0.1706945312
420	0.1703185897
421	0.170038298
422	0.1698269765
423	0.1695031166
424	0.1691557661
425	0.1688493049
426	0.1685308197
427	0.1681369738
428	0.1678012245
429	0.1675155336
430	0.1672600596
431	0.1669928742
432	0.1666903032
433	0.1663868073
434	0.1660622206
435	0.1657162817
436	0.1653973714
437	0.1651066363
438	0.1648323119
439	0.1646186614
440	0.1642946147
441	0.1640063426
442	0.1636902665
443	0.1633787203
444	0.1631021961
445	0.1628635904
446	0.1625499136
