iter	Passed	Remaining
0	117	117821
1	229	114351
2	343	114040
3	464	115617
4	579	115289
5	695	115216
6	807	114598
7	924	114590
8	1038	114353
9	1161	114996
10	1282	115340
11	1401	115411
12	1521	115547
13	1642	115646
14	1757	115410
15	1873	115249
16	1987	114946
17	2102	114686
18	2216	114431
19	2332	114297
20	2445	114013
21	2561	113892
22	2673	113548
23	2790	113496
24	2910	113521
25	3038	113828
26	3167	114141
27	3298	114499
28	3421	114558
29	3538	114423
30	3652	114157
31	3768	113982
32	3880	113724
33	4015	114081
34	4143	114238
35	4273	114434
36	4292	111718
37	4422	111961
38	4549	112095
39	4673	112166
40	4798	112242
41	4921	112267
42	5045	112300
43	5166	112244
44	5285	112180
45	5405	112100
46	5530	112141
47	5647	112006
48	5780	112196
49	5909	112278
50	6038	112364
51	6165	112402
52	6300	112574
53	6425	112560
54	6547	112495
55	6665	112367
56	6785	112262
57	6900	112080
58	7018	111935
59	7132	111736
60	7256	111696
61	7380	111663
62	7505	111630
63	7619	111429
64	7733	111248
65	7846	111046
66	7964	110910
67	8095	110957
68	8229	111037
69	8352	110970
70	8473	110876
71	8601	110861
72	8728	110839
73	8846	110706
74	8977	110719
75	9111	110774
76	9227	110606
77	9344	110457
78	9473	110441
79	9600	110402
80	9726	110353
81	9855	110328
82	9980	110262
83	10106	110206
84	10225	110078
85	10337	109866
86	10453	109703
87	10566	109509
88	10682	109345
89	10797	109170
90	10917	109052
91	11033	108898
92	11147	108716
93	11258	108516
94	11372	108339
95	11481	108115
96	11599	107978
97	11712	107799
98	11827	107646
99	11943	107488
100	12064	107382
101	12181	107240
102	12305	107162
103	12435	107132
104	12545	106937
105	12654	106730
106	12767	106556
107	12884	106420
108	13003	106297
109	13114	106109
110	13230	105960
111	13341	105778
112	13458	105640
113	13568	105450
114	13686	105325
115	13797	105148
116	13913	105002
117	14025	104837
118	14142	104701
119	14252	104520
120	14369	104389
121	14485	104246
122	14602	104116
123	14716	103965
124	14834	103839
125	14947	103682
126	15067	103575
127	15182	103431
128	15300	103306
129	15417	103178
130	15535	103056
131	15655	102946
132	15776	102844
133	15890	102692
134	16010	102585
135	16124	102439
136	16241	102309
137	16356	102169
138	16474	102045
139	16588	101899
140	16705	101776
141	16820	101636
142	16939	101518
143	17053	101372
144	17169	101242
145	17284	101101
146	17401	100978
147	17519	100853
148	17637	100735
149	17749	100581
150	17863	100437
151	17976	100288
152	18092	100156
153	18203	100002
154	18317	99861
155	18428	99700
156	18544	99571
157	18657	99429
158	18773	99297
159	18884	99145
160	19002	99026
161	19123	98921
162	19254	98870
163	19388	98833
164	19513	98751
165	19631	98631
166	19753	98529
167	19873	98423
168	19988	98285
169	20102	98147
170	20236	98105
171	20354	97983
172	20469	97850
173	20584	97717
174	20697	97572
175	20810	97429
176	20925	97299
177	21037	97150
178	21152	97018
179	21263	96866
180	21379	96741
181	21506	96660
182	21651	96664
183	21772	96555
184	21890	96435
185	22015	96348
186	22143	96270
187	22261	96148
188	22387	96064
189	22510	95967
190	22632	95862
191	22758	95776
192	22883	95682
